Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
822,Journal for Estate Planning Law,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
823,Journal for Language Teaching = Ijenali Yekufundzisa Lulwimi = Tydskrif vir Taalonderrig,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
824,Journal for New Generation Sciences,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
825,Journal for Semitics,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
826,Journal of African Education,SABINET Journal repository,0,0,0,0,0,0,0,0,0,0,0,1
827,Journal of African Elections,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
828,Journal of African Films & Diaspora Studies,SABINET Journal repository,0,0,0,0,0,0,1,0,0,0,0,1
829,Journal of African Foreign Affairs,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
830,Journal of African Languages and Literary Studies,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
831,Journal of African Political Economy and Development,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
832,Journal of African Union Studies,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
833,Journal of Child & Adolescent Mental Health,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
834,Journal of Comparative Law in Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
835,Journal of Construction and Built Environment,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
836,Journal of Construction Project Management and Innovation,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
837,Journal of Contemporary Management,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0,0,1
838,Journal of Corporate and Commercial Law and Practice,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
839,Journal of Depression and Anxiety,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
840,Journal of Development Perspectives,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
841,Journal of Early Christian History,SABINET Journal repository,1,0,0,1,0,0,1,1,0,0,0,1
842,Journal of Economic and Financial Sciences,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0,0,1
843,Journal of Education and Entrepreneurship,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
844,Journal of Education Research and Rural Community Development,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
845,Journal of Educational Studies,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
846,Journal of Emerging Trends in Economics and Management Sciences,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
847,Journal of Emerging Trends in Educational Research and Policy Studies,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
848,Journal of Emerging Trends in Engineering and Applied Sciences,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
849,"Journal of Endocrinology, Metabolism and Diabetes in South Africa",SABINET Journal repository,0,1,0,1,1,0,0,0,1,0,0,1
850,Journal of Energy in Southern Africa,SABINET Journal repository,1,1,1,1,1,1,1,0,1,0,0,1
851,Journal of Engineering Design and Technology,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
852,Journal of Ethiopian Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
853,Journal of Family Ecology and Consumer Sciences = Tydskrif vir Gesinsekologie en Verbruikerswetenskappe,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
854,"Journal of Gender, Information and Development in Africa (JGIDA)",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
855,The Journal of Independent Teaching and Learning,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
856,Journal of Indigenous and Shamanic Studies,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
857,Journal of Insulin Resistance,SABINET Journal repository,0,0,0,0,0,0,1,1,1,0,0,1
858,"Journal of Law, Society and Development",SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
859,Journal of Literary Studies,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
860,Journal of Local Government Research and Innovation,SABINET Journal repository,0,0,0,0,0,0,1,1,1,0,0,1
861,Journal of Management & Administration,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
862,Journal of Marketing,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0,0,1
863,The Journal of Medical Laboratory Science and Technology of South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
864,Journal of Medicinal Plants for Economic Development,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0,0,1
865,Journal of Minimum Intervention in Dentistry,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
866,Journal of Modern Pharmacy,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
867,Journal of Nation-building & Policy Studies,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
868,Journal of northwest Semitic Languages,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
869,Journal of Ocean Governance in Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
870,Journal of Public Administration,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
871,Journal of Public Administration and Development Alternatives (JPADA),SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
872,Journal of Religion and Theology in Namibia,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
873,Journal of Somali Studies : Research on Somalia and the Greater Horn of African Countries,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
874,Journal of South African Law / Tydskrif vir die Suid-Afrikaanse Reg,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
875,Journal of Strategic Studies : A Journal of the Southern Bureau of Strategic Studies Trust,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
876,Journal of the African Literature Association,SABINET Journal repository,1,0,0,1,0,0,1,1,0,0,0,1
877,Journal of the Astronomical Society of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
878,Journal of the Department of Agriculture,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
879,Journal of the Egyptian National Cancer Institute,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
880,Journal of the Entomological Society of Southern Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
881,Journal of the South African Institution of Civil Engineering = Joernaal van die Suid-Afrikaanse Instituut van Siviele Ingenieurswese,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
882,Journal of the South African Institution of Civil Engineers,SABINET Journal repository,1,1,1,1,0,0,0,0,1,0,0,1
883,Journal of the South African Veterinary Association,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
884,"Journal of the Southern African Association for Research in Mathematics, Science and Technology Education",SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
885,Journal of the Southern African Institute of Mining and Metallurgy,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
886,Journal of Transport and Supply Chain Management,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0,0,1
887,"Journal of Vocational, Adult and Continuing Education and Training",SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
888,Just Africa,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
889,Juta's Business Law,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
890,Kano Studies,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
891,Kenya Past and Present,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
892,Kleio,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
893,Koedoe : African Protected Area Conservation and Science,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0,0,1
894,Koers : Bulletin for Christian Scholarship = Koers : Bulletin vir Christelike Wetenskap,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
895,Kronos : Journal of Cape History,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
